href,title,valor_monetario
/manchester-city-fc/kader/verein/281/saison_id/2011,Manchester City FC,€ 498.60 mi.
/manchester-united-fc/kader/verein/985/saison_id/2011,Manchester United FC,€ 404.10 mi.
/chelsea-fc/kader/verein/631/saison_id/2011,Chelsea FC,€ 375.50 mi.
/fc-arsenal/kader/verein/11/saison_id/2011,FC Arsenal,€ 362.43 mi.
/tottenham-hotspur/kader/verein/148/saison_id/2011,Tottenham Hotspur,€ 323.50 mi.
/fc-liverpool/kader/verein/31/saison_id/2011,FC Liverpool,€ 236.90 mi.
/fc-everton/kader/verein/29/saison_id/2011,FC Everton,€ 169.95 mi.
/newcastle-united/kader/verein/762/saison_id/2011,Newcastle United,€ 161.70 mi.
/afc-sunderland/kader/verein/289/saison_id/2011,AFC Sunderland,€ 126.50 mi.
/aston-villa-fc/kader/verein/405/saison_id/2011,Aston Villa FC,€ 123.50 mi.
/fc-fulham/kader/verein/931/saison_id/2011,FC Fulham,€ 100.00 mi.
/bolton-wanderers/kader/verein/355/saison_id/2011,Bolton Wanderers,€ 90.05 mi.
/stoke-city/kader/verein/512/saison_id/2011,Stoke City,€ 81.65 mi.
/queens-park-rangers/kader/verein/1039/saison_id/2011,Queens Park Rangers,€ 81.38 mi.
/blackburn-rovers/kader/verein/164/saison_id/2011,Blackburn Rovers,€ 80.00 mi.
/wolverhampton-wanderers/kader/verein/543/saison_id/2011,Wolverhampton Wanderers,€ 78.05 mi.
/swansea-city-afc/kader/verein/2288/saison_id/2011,Swansea City AFC,€ 75.60 mi.
/wigan-athletic/kader/verein/1071/saison_id/2011,Wigan Athletic,€ 74.25 mi.
/west-bromwich-albion/kader/verein/984/saison_id/2011,West Bromwich Albion,€ 69.55 mi.
/norwich-city/kader/verein/1123/saison_id/2011,Norwich City,€ 58.75 mi.
